session_id,station_name,start_ts,end_ts,energy_kwh,ghg_savings_kg,port_type,plug_type,fee,ended_by,latitude,longitude,user_id
75,PALO ALTO CA / HAMILTON #1,2011-10-13T14:33:00.000Z,2011-10-13T15:43:00.000Z,1.696998,0.713,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,4217
76,PALO ALTO CA / HAMILTON #2,2011-10-13T19:41:00.000Z,2011-10-13T22:25:00.000Z,9.442727,3.966,Level 2,J1772,0.0,CPS Server,37.444607,-122.160263,2545
77,PALO ALTO CA / HAMILTON #2,2011-10-14T08:41:00.000Z,2011-10-14T11:34:00.000Z,9.986282,4.194,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,4714
78,PALO ALTO CA / HAMILTON #1,2011-10-15T08:19:00.000Z,2011-10-15T10:04:00.000Z,3.632633,1.526,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,2670
79,PALO ALTO CA / BRYANT #1,2011-10-18T13:38:00.000Z,2011-10-18T18:59:00.000Z,15.474944,6.499,Level 2,J1772,0.0,Plug Out at Vehicle,37.446373,-122.162331,5717
80,PALO ALTO CA / HAMILTON #1,2011-10-18T13:52:00.000Z,2011-10-18T14:34:00.000Z,2.371716,0.996,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,4076
81,PALO ALTO CA / HAMILTON #1,2011-10-19T12:32:00.000Z,2011-10-19T15:37:00.000Z,10.650012,4.473,Level 2,J1772,0.0,Customer,37.444572,-122.160309,6020
82,PALO ALTO CA / HAMILTON #2,2011-10-19T13:40:00.000Z,2011-10-19T15:29:00.000Z,6.291109,2.642,Level 2,J1772,0.0,Customer,37.444607,-122.160263,3599
83,PALO ALTO CA / BRYANT #2,2011-10-19T22:11:00.000Z,2011-10-20T00:21:00.000Z,7.92332,3.328,Level 2,J1772,0.0,Customer,37.446373,-122.162331,4169
84,PALO ALTO CA / BRYANT #2,2011-10-20T14:41:00.000Z,2011-10-20T15:32:00.000Z,3.110018,1.306,Level 2,J1772,0.0,Customer,37.446373,-122.162331,4703
85,PALO ALTO CA / HAMILTON #2,2011-10-20T18:24:00.000Z,2011-10-20T21:20:00.000Z,5.788554,2.431,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,4440
86,PALO ALTO CA / HAMILTON #1,2011-10-21T08:37:00.000Z,2011-10-21T11:56:00.000Z,11.493875,4.827,Level 2,J1772,0.0,Customer,37.444572,-122.160309,6020
87,PALO ALTO CA / BRYANT #1,2011-10-21T09:47:00.000Z,2011-10-21T10:12:00.000Z,1.482446,0.623,Level 2,J1772,0.0,Customer,37.446373,-122.162331,4703
88,PALO ALTO CA / HIGH #4,2011-10-21T10:00:00.000Z,2011-10-21T12:52:00.000Z,10.677951,4.485,Level 2,J1772,0.0,Customer,37.443676,-122.16288,4595
